account,sentiment_group,trades,volume_usd,total_closed_pnl,total_net_pnl,win_rate,avg_closed_pnl
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,159708.30000000002,1793.1602149999999,1758.4981639999999,0.8,358.63204299999995
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,18780.48,1260.832586,1259.51551206,0.3333333333333333,420.2775286666667
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,588648.11,573.585288,522.60702384,0.004405286343612335,2.526807436123348
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,8647.35,15.24474,14.187041,0.2,3.048948
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,135211.26,11.717676000000012,-20.949975279999983,0.025,0.14647095000000016
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,727332.09,0.0,-12.38025211,0.0,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,1811199.98,0.0,-181.119965,0.0,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Greed,0,0.0,0.0,0.0,,
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Greed,0,0.0,0.0,0.0,,
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,206332.51,-19135.913281,-19183.31407892,0.05102040816326531,-195.26442123469388
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,11415855.67,-40282.335904,-42078.309494999994,0.06666666666666667,-42.62681048042328
