date,trades,volume_usd,closed_pnl,net_pnl,win_rate,sentiment_value
2024-06-01,25,12834.62,91.510419,87.018313,0.36,72.0
2024-06-02,93,29464.51,192.906947,185.114035,0.3655913978494624,73.0
2024-06-03,70,21466.86,562.808208,557.430122,0.6285714285714286,73.0
2024-06-04,53,24243.41,52.211438,44.778485,0.4716981132075472,73.0
2024-06-05,54,25350.77,56.055506,48.951446000000004,0.2962962962962963,75.0
2024-06-06,234,137557.76,274.173187,237.093763,0.42735042735042733,78.0
2024-06-07,440,1098588.76,8902.467416,8529.504751999999,0.4,77.0
2024-06-08,29,97351.88,129.13883900000002,95.065702,0.27586206896551724,72.0
2024-06-09,17,22410.22,0.0,-7.515775,0.0,75.0
2024-06-10,53,46587.93,31.266804999999998,16.570477,0.33962264150943394,72.0
2024-06-11,123,373279.92,4320.631811,4190.703598,0.13821138211382114,74.0
2024-06-12,254,193407.96,-21886.531493,-21950.45291,0.08267716535433071,72.0
2024-06-13,79,132577.22,6632.757115,6599.357365,0.24050632911392406,70.0
2024-06-14,31,139868.66,10258.592609,10219.638533,0.4838709677419355,74.0
2024-06-15,78,718350.25,3369.958346,3118.535797,0.48717948717948717,74.0
2024-06-16,11,25235.079999999998,0.0,-8.832277,0.0,71.0
2024-06-17,38,368380.12,10599.502375,10470.56935,0.6578947368421053,71.0
2024-06-18,25,263314.79,282.57636,215.416102,0.16,74.0
2024-06-19,61,417071.12,4887.656944,4748.805201,0.5081967213114754,64.0
2024-06-20,39,207990.8,57478.456026,57464.986976,0.20512820512820512,60.0
2024-06-21,80,176264.49,773.5582039999999,712.281105,0.0375,63.0
2024-06-22,24,169594.27000000002,756.876565,716.343183,0.3333333333333333,53.0
2024-06-23,5,1792.12,0.0,-0.17921199999999998,0.0,55.0
2024-06-24,31,403002.8,0.0,-103.551001,0.0,51.0
2024-06-25,49,103099.08,4869.353105,4833.268454,0.22448979591836735,30.0
2024-06-26,72,365190.66000000003,4197.732182,4070.177882,0.2916666666666667,46.0
2024-06-27,30,130486.95,0.0,-45.556012,0.0,40.0
2024-06-29,75,280095.11,6150.326145,5690.030914,0.32,30.0
2024-06-30,14,30520.69,0.0,-17.057669,0.0,47.0
2024-07-01,64,362670.14999999997,5065.839308,4640.516283,0.40625,53.0
2024-07-02,18,33347.47,2421.253116,2409.794386,0.7222222222222222,51.0
2024-07-03,18,179600.66,1118.387284,1055.7586019999999,0.2222222222222222,50.0
2024-07-04,25,430568.01,0.0,-113.02464499999999,0.0,44.0
2024-07-05,32,272289.89,0.0,-95.130717,0.0,29.0
2024-07-06,24,2490.17,108.87217799999999,-235.481982,0.2916666666666667,26.0
2024-07-07,10,498.75,61.428942,61.379067,1.0,29.0
2024-07-08,1,497.64,0.0,-0.0156,0.0,28.0
2024-07-09,15,2736.45,648.984412,648.586844,1.0,27.0
2024-07-10,56,687900.21,11977.734907,11736.969867,0.6785714285714286,28.0
2024-07-11,19,169887.02,1876.812082,1817.351639,0.47368421052631576,29.0
2024-07-12,19,89582.97,1412.314654,1380.9606250000002,0.47368421052631576,25.0
2024-07-13,17,139189.19,2913.617837,2864.9016269999997,1.0,25.0
2024-07-14,7,84001.13,0.0,-29.400389,0.0,33.0
2024-07-15,26,198344.85,-1.0,-69.995769,0.0,52.0
2024-07-16,22,144000.57,0.0,-50.400180999999996,0.0,65.0
2024-07-17,351,626005.53,1859.269477,1652.667564,0.4131054131054131,69.0
2024-07-18,60,649704.85,3803.884311,3576.487647,0.8,61.0
2024-07-19,23,150269.42,2155.891114,2103.296826,0.5217391304347826,60.0
2024-07-20,266,244362.21,2299.169566,2218.411148,0.12406015037593984,74.0
2024-07-21,448,234307.46,-2960.716887,-3025.440227,0.046875,74.0
2024-07-22,154,304213.8,1517.119876,1419.66034,0.14285714285714285,70.0
2024-07-23,370,358526.54,89890.302206,89831.05908,0.8891891891891892,71.0
2024-07-24,90,69207.93,625.561479,570.4942,0.2,69.0
2024-07-25,78,528555.31,916.7382600000001,692.5523440000001,0.1282051282051282,68.0
2024-07-26,152,548587.65,2766.513113,2559.946098,0.40131578947368424,68.0
2024-07-27,57,905199.75,6400.623656,6083.803762,0.7368421052631579,72.0
2024-07-28,16,43254.68,587.29903,572.159908,0.75,71.0
2024-07-29,39,327199.14,330.80445399999996,216.28477,0.41025641025641024,74.0
2024-07-30,6,36006.47,0.0,-12.602264,0.0,67.0
2024-07-31,43,84506.54,765.690884,736.113617,0.32558139534883723,61.0
2024-08-01,57,227774.53,167.080017,58.98498099999998,0.07017543859649122,52.0
2024-08-02,63,396320.37,782.3681909999999,636.847729,0.2698412698412698,57.0
2024-08-03,37,290532.86,464.1897,355.53659400000004,0.02702702702702703,37.0
2024-08-04,127,1207744.07,-122672.000883,-123117.903118,0.023622047244094488,34.0
2024-08-05,80,420495.4,-13013.665169,-13216.384327,0.4125,26.0
2024-08-06,107,61478.38,267.318048,204.696769,0.12149532710280374,17.0
2024-08-07,33,2492.77,188.789255,185.0370512,0.30303030303030304,29.0
2024-08-08,9,16299.35,-40.712216999999995,-47.360212,0.0,20.0
2024-08-09,144,503204.86,18082.071276,17896.81689532,0.2986111111111111,48.0
2024-08-10,88,11339.29,0.0,-50.0831879,0.0,40.0
2024-08-11,24,44230.21,847.7766200000001,806.845333,0.16666666666666666,39.0
2024-08-12,48,54167.32,858.6705000000001,822.598605,0.125,25.0
2024-08-13,23,20797.87,212.08102,194.148143,0.34782608695652173,31.0
2024-08-14,25,66710.03,2168.9015130000003,2122.4084070000004,0.2,30.0
2024-08-15,12,1522.3700000000001,0.0,-16.50261,0.0,29.0
2024-08-16,35,166382.84,825.230544,744.042602,0.08571428571428572,27.0
2024-08-17,30,30248.96,-288.283113,-305.379652,0.0,25.0
2024-08-18,15,62804.48,307.201888,285.220331,0.8,31.0
2024-08-19,8,100315.03,339.69958299999996,304.58932500000003,0.625,28.0
2024-08-20,12,49914.8,192.602844,175.13267000000002,0.08333333333333333,30.0
2024-08-21,145,104990.41,656.200925,619.454342,0.3724137931034483,26.0
2024-08-23,10,63509.56,1005.30527,983.076928,0.3,34.0
2024-08-24,7,34999.67,0.0,-12.249882,0.0,56.0
2024-08-25,17,21950.28,0.0,-26.303603,0.0,54.0
2024-08-26,6,92611.27,231.236918,198.933986,0.3333333333333333,55.0
2024-08-27,50,70250.16,0.0,-52.053552,0.0,48.0
2024-08-28,9,71160.06999999999,1333.359645,1308.453619,0.2222222222222222,30.0
2024-08-29,1,9995.85,0.0,-3.498547,0.0,29.0
2024-08-30,6,37233.24,256.464,243.432824,0.16666666666666666,34.0
2024-08-31,34,107507.43000000001,10.882801,-29.072513999999998,0.35294117647058826,29.0
2024-09-01,12,12359.68,137.433093,133.107232,0.4166666666666667,26.0
2024-09-02,2,30000.42,0.0,-10.500148,0.0,26.0
2024-09-04,34,131480.97,1065.785132,1002.214905,0.14705882352941177,27.0
2024-09-05,1,0.84,0.0,0.0,0.0,29.0
2024-09-06,42,39047.1,-1104.856765,-1118.523241,0.0,22.0
2024-09-08,1,0.11,0.0,0.0,0.0,29.0
2024-09-09,2,4014.4300000000003,0.0,-34.9079,0.0,26.0
2024-09-10,3,2547.28,-219.729659,-227.020059,0.0,33.0
2024-09-11,1,0.54,0.0,0.0,0.0,37.0
2024-09-14,11,1014.8000000000001,0.0,-30.381330000000002,0.0,50.0
2024-09-18,145,13633.5,-878.684794,-910.417737,0.0,45.0
2024-09-19,19,1521.8700000000001,0.0,-28.60766,0.0,49.0
2024-09-20,16,332873.38,9585.03428,9475.717249,0.5,54.0
2024-09-21,23,165648.12,36165.56933,36107.592489,1.0,54.0
2024-09-22,3,19999.739999999998,0.0,-6.999907,0.0,52.0
2024-09-23,2,40334.29,334.760796,320.643794,0.5,50.0
2024-09-24,10,7118.63,0.0,-12.966142,0.0,54.0
2024-09-25,9,52754.130000000005,0.0,-17.764677,0.0,59.0
2024-09-26,8,113711.93000000001,439.812513,408.464309,0.25,50.0
2024-09-27,56,126097.04,0.0,-37.503311,0.0,61.0
2024-09-28,4,29199.21,0.0,-2.8031200000000003,0.0,64.0
2024-09-30,106,214669.85,2710.626288,2644.988712,0.04716981132075472,61.0
2024-10-01,4,139954.32,0.0,-48.98401,0.0,50.0
2024-10-02,4,99954.34,0.0,-34.984016999999994,0.0,42.0
2024-10-03,9,132935.69,100.375782,53.848290999999996,0.3333333333333333,37.0
2024-10-04,1,0.34,0.0,0.0,0.0,41.0
2024-10-05,37,605605.74,5767.161892,5555.200121,0.6486486486486487,49.0
2024-10-06,22,300130.56,130.487079,25.441386,0.22727272727272727,50.0
2024-10-07,21,219984.65,0.0,-76.994616,0.0,50.0
2024-10-08,36,434584.13,5396.546638,5244.4424180000005,0.9166666666666666,49.0
2024-10-09,14,220399.93,396.06272,318.922753,0.21428571428571427,49.0
2024-10-10,16,300024.33999999997,0.0,-105.00851,0.0,39.0
2024-10-11,26,488904.19,8885.327477,8714.211283,0.6923076923076923,32.0
2024-10-12,10,159713.4,541.55471,485.65502499999997,0.7,49.0
2024-10-13,10,60002.42,0.0,-21.000841,0.0,50.0
2024-10-14,5,61916.020000000004,1913.61958,1891.948976,1.0,48.0
2024-10-15,7,81173.36,1170.2260760000001,1141.815403,0.5714285714285714,65.0
2024-10-16,11,80229.17,219.480876,191.400672,0.2727272727272727,73.0
2024-10-17,9,140531.75,36.11496,-13.071147000000003,0.1111111111111111,71.0
2024-10-18,6,120331.43000000001,333.219141,291.103143,0.8333333333333334,73.0
2024-10-19,4,99996.86,0.0,-34.998901000000004,0.0,72.0
2024-10-20,96,176447.86000000002,389.155797,329.898338,0.11458333333333333,73.0
2024-10-21,173,324117.99,2464.915564,2355.057521,0.3930635838150289,72.0
2024-10-22,3,60000.36,0.0,-21.000124,0.0,70.0
2024-10-23,18,210006.07,-46.489941,-119.992052,0.0,71.0
2024-10-25,30,427883.18,13235.862071,13092.020156999999,0.7,72.0
2024-10-26,6,88668.86,42471.99413,42463.481926,1.0,
2024-10-27,4,90664.41,666.6623079999999,634.929768,0.75,74.0
2024-10-28,13,121495.25,167.28016200000002,125.00682200000003,0.3076923076923077,72.0
2024-10-29,53,613267.8099999999,801.170876,586.527162,0.05660377358490566,72.0
2024-10-30,25,11830.85,9.150023,5.5530349999999995,0.28,77.0
